E1,E2 (A),E2 (B),E2 (C) ,E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
14.70588235,100,0,0,0,0,21.73913043,72,0,100,43.41085271,0,0,0,100,100
39.28571429,100,0,46.62576687,97.5,16.08391608,13.01369863,66.45962733,0,100,57.57575758,83.33333333,0,0,100,100
84.27672956,100,0,31.49606299,0,0,64.77987421,0,0,100,71.42857143,80,0,0,100,100
62.5,85.71428571,96.15384615,0,28.09917355,0,0,0,59.86394558,30.32786885,72.88135593,75,0,0,100,66.66666667
0,18.24817518,0,15.47619048,0,63.86554622,0,0,0,0,0,60,0,0,60,60
0,0,0,81.81818182,29.92125984,7.317073171,0,0,0,37.03703704,9.554140127,0,100,0,60,85.71428571
0,100,20,36.12903226,0,0,100,59.49367089,57.66423358,100,100,85.71428571,71.42857143,100,100,100
0,100,0,33.33333333,0,45.96273292,49.71428571,56.02836879,19.63190184,100,66.66666667,80,0,87.5,100,100
43.18181818,100,10.37037037,0,0,24.28571429,37.22222222,100,0,100,41.95402299,80,71.42857143,80,100,100
0,0,46.70658683,22.58064516,70.96774194,0,0,35.66878981,8.823529412,0,29.71014493,75,75,0,100,80
0,0,20,9.85915493,0,11.62790698,24.8,0,0,75,0,66.66666667,100,71.42857143,0,81.81818182
54.34782609,1.666666667,0,14.19753086,0,0,15.38461538,0,93.75,28.2208589,0,71.42857143,0,0,60,0
14.78873239,100,87.5,85.44303797,0,38.51851852,50,56.42857143,0,100,77.20588235,0,66.66666667,0,100,100
30.85714286,100,0,0,0,0,64.70588235,39.0070922,0,100,81.41025641,75,75,80,100,100
0,100,12.87878788,7.80141844,0,13.90728477,19.20903955,76.42857143,35.11450382,100,64.28571429,83.33333333,0,0,100,100
0,28.57142857,0,0,0,0,2.739726027,93.63057325,0,0,0,87.5,100,0,75,75
0,0,0,59.55882353,0,0,0,32.16374269,34.48275862,7.547169811,75.83892617,100,0,0,60,50
0,0,85.81560284,33.07086614,0,0,0,0,0,0,0,71.42857143,0,60,0,100
77.57575758,100,0,0,0,0,66.66666667,66.15384615,0,100,100,75,0,87.5,100,100
74.8427673,100,46.5648855,52.34375,0,0,75,35.36585366,65.71428571,100,100,100,71.42857143,0,100,100
0,100,0,0,0,0,27.20588235,31.05590062,0,100,51.94805195,100,60,0,100,100
0,34.48275862,0,0,0,96.66666667,18.60465116,94.11764706,97.14285714,94.07894737,0,0,96.15384615,0,66.66666667,100
97.43589744,0,0,0,0,0,64.58333333,56.49350649,0,0,0,0,87.5,0,0,0
0,0,96.15384615,0,96.66666667,11.17318436,14.375,0,0,0,0,0,71.42857143,0,60,60
31.3559322,100,0,0,0,0,97.14285714,29.6875,26.9005848,100,23.44827586,80,0,100,100,100
0,100,9.375,0,0,42.64705882,58.27338129,100,0,100,49.27536232,85.71428571,75,100,100,100
7.317073171,100,0,0,0,87.41258741,67.66917293,100,0,100,100,0,0,66.66666667,100,100
0,36.09467456,0,0,0,0,0,55.93220339,0,24.24242424,76.8,0,100,71.42857143,0,0
0,0,58.52272727,0,0,24.20382166,66.47058824,0,40.32258065,22.36024845,0,0,100,71.42857143,75,0
0,97.2972973,73.7704918,0,0,0,17.68292683,39.41605839,0,5.161290323,32.18390805,0,0,66.66666667,0,0
54.66666667,100,0,4,0,0,100,0,0,100,61.39240506,85.71428571,0,75,100,100
0,100,76.47058824,0,0,55.55555556,58.62068966,46.5408805,67.5,100,72.86821705,60,75,0,100,100
0,100,75,11.36363636,0,97.36842105,34.85714286,100,13.57142857,100,71.42857143,85.71428571,97.05882353,80,100,100
0,0,0,56.20915033,0,0,20.52980132,0,22.97297297,50,0,0,0,66.66666667,0,100
97.36842105,96.77419355,0,0,0,0,0,97.22222222,4.098360656,13.125,0,60,60,71.42857143,0,60
0,0,0,85.71428571,92.94117647,50.37593985,0,0,0,0,2.762430939,0,66.66666667,0,60,71.42857143
0,100,9.202453988,64.70588235,0,12.5,30.8988764,12.88343558,0,100,28.92561983,0,0,0,100,100
0,100,96.66666667,0,57.14285714,57.8313253,66.66666667,19.86754967,0,100,47.77777778,100,0,100,100,100
0,100,0,0,40,0,100,51.02040816,0,100,60,100,66.66666667,83.33333333,100,100
0,0,0,46.03174603,0,97.2972973,4.733727811,0,0,0,0,0,87.5,66.66666667,60,0
63.2,88,0,0,0,42.23602484,0,0,83.73493976,96.66666667,0,0,71.42857143,75,0,0
42.74193548,0,0,0,0,54.9382716,0,0,30.37037037,0,14.28571429,0,0,0,0,87.5
72.58064516,100,0,45.76271186,31.92771084,62.5,60.29411765,45.50561798,73.88059701,100,93.33333333,75,75,97.43589744,100,100
62.04379562,100,0,0,0,0,74.30555556,44.11764706,3.100775194,100,100,0,0,75,100,100
0,100,0,28.10457516,0,0,100,37.26708075,0,100,56.25,80,0,0,100,100
0,0,0,5.479452055,0,10.2189781,0,16.99346405,56.47058824,95.65217391,40.47619048,60,66.66666667,0,0,0
0,0,13.69863014,0,0,57.14285714,8.275862069,0,97.14285714,58.87096774,0,71.42857143,60,71.42857143,0,71.42857143
0,0,0,0,0,0,22.90502793,0,0,27.71084337,81.25,0,71.42857143,0,60,60
0,100,66.43356643,0,0,0,58.82352941,0,55.88235294,100,100,100,0,80,100,100
0,100,0,0,90.90909091,94.11764706,13.25966851,18.75,92,100,36.47798742,0,0,87.5,100,100
42.85714286,100,43.82022472,50,8.888888889,25.16129032,56.77419355,4.347826087,0,100,68.82352941,0,71.42857143,80,100,100
36.60130719,0,49.62962963,61.9047619,0,0,0,28.57142857,0,0,57.66871166,0,0,0,0,60
0,0,60.81081081,16.54676259,0,0,0,40,0,0,25,0,0,60,50,0
0,84.51612903,57.79220779,0,82.35294118,23.52941176,38.76404494,0,12.5,11.86440678,0,75,60,0,100,66.66666667
0,100,0,0,5.714285714,0,100,17.10526316,39.68253968,100,83.7398374,100,0,0,100,100
92.13483146,100,53.65853659,0,0,25.96685083,86.15384615,54.91803279,0,100,100,100,0,100,100,100
0,100,0,0,0,19.27710843,71.42857143,73.41040462,0,100,54.91803279,0,0,83.33333333,100,100
5.369127517,78.78787879,20,97.36842105,0,0,0,49.65986395,10.1910828,0,77.30496454,0,0,0,0,0
0,0,0,0,54.18994413,0,0,57.66871166,0,0,90,0,0,66.66666667,87.5,60
0,47.09677419,44.29530201,0,0,0,28.57142857,0,57.05128205,0,26.61290323,66.66666667,0,66.66666667,0,0
